Freq;Ampl;Phase;Cohe
5.00;0.21;179.40;1.00
5.06;0.20;179.38;1.00
5.12;0.21;179.24;1.00
5.18;0.21;179.00;1.00
5.24;0.22;178.74;1.00
5.30;0.23;178.74;1.00
5.36;0.24;178.91;1.00
5.43;0.24;179.10;1.00
5.49;0.24;179.21;1.00
5.56;0.25;179.25;1.00
5.62;0.25;179.27;1.00
5.69;0.25;179.30;1.00
5.76;0.26;179.32;1.00
5.82;0.27;179.30;1.00
5.89;0.27;179.28;1.00
5.96;0.28;179.26;1.00
6.03;0.29;179.19;1.00
6.10;0.29;179.15;1.00
6.17;0.30;179.10;1.00
6.25;0.31;179.03;1.00
6.32;0.32;179.00;1.00
6.40;0.33;179.07;1.00
6.47;0.34;179.25;1.00
6.55;0.35;179.44;1.00
6.62;0.35;179.58;1.00
6.70;0.36;179.59;1.00
6.78;0.37;179.47;1.00
6.86;0.39;179.35;1.00
6.94;0.40;179.23;1.00
7.02;0.41;179.00;1.00
7.11;0.42;178.80;1.00
7.19;0.43;178.63;1.00
7.28;0.44;178.57;1.00
7.36;0.45;178.55;1.00
7.45;0.47;178.54;1.00
7.54;0.48;178.55;1.00
7.63;0.49;178.55;1.00
7.72;0.51;178.53;1.00
7.81;0.52;178.51;1.00
7.90;0.53;178.58;1.00
7.99;0.55;178.70;1.00
8.09;0.57;178.73;1.00
8.18;0.58;178.72;1.00
8.28;0.60;178.71;1.00
8.38;0.62;178.78;1.00
8.47;0.63;178.78;1.00
8.57;0.65;178.76;1.00
8.68;0.67;178.76;1.00
8.78;0.69;178.76;1.00
8.88;0.71;178.71;1.00
8.99;0.73;178.75;1.00
9.09;0.76;178.79;1.00
9.20;0.78;178.89;1.00
9.31;0.81;179.14;1.00
9.42;0.83;179.36;1.00
9.53;0.85;179.59;1.00
9.64;0.88;179.73;1.00
9.75;0.90;179.90;1.00
9.87;0.93;179.89;1.00
9.99;0.95;179.47;1.00
10.10;0.98;179.05;1.00
10.22;1.00;179.12;1.00
10.34;1.02;178.44;1.00
10.47;1.02;178.05;1.00
10.59;1.03;178.63;1.00
10.71;1.06;179.18;1.00
10.84;1.10;179.22;1.00
10.97;1.15;178.87;1.00
11.10;1.20;178.49;1.00
11.23;1.25;178.31;1.00
11.36;1.29;178.37;1.00
11.49;1.33;178.22;1.00
11.63;1.37;178.18;1.00
11.77;1.42;178.13;1.00
11.91;1.48;178.05;1.00
12.05;1.52;177.97;1.00
12.19;1.59;177.99;1.00
12.33;1.65;178.10;1.00
12.48;1.72;178.08;1.00
12.63;1.77;177.99;1.00
12.77;1.85;177.95;1.00
12.92;1.92;177.80;1.00
13.08;2.00;177.70;1.00
13.23;2.07;177.78;1.00
13.39;2.14;177.92;1.00
13.55;2.22;177.95;1.00
13.71;2.33;177.87;1.00
13.87;2.45;177.94;1.00
14.03;2.56;178.23;1.00
14.20;2.68;178.16;1.00
14.36;2.80;178.20;1.00
14.53;2.95;178.25;1.00
14.70;3.08;178.34;1.00
14.88;3.19;178.11;1.00
15.05;3.37;177.92;1.00
15.23;3.59;177.69;1.00
15.41;3.84;177.35;1.00
15.59;4.05;176.89;1.00
15.78;4.31;176.72;1.00
15.96;4.63;176.38;1.00
16.15;4.90;176.10;1.00
16.34;5.21;175.60;1.00
16.53;5.60;174.63;1.00
16.73;6.03;173.76;1.00
16.93;6.51;172.65;1.00
17.13;7.08;172.12;1.00
17.33;7.58;171.54;1.00
17.53;8.33;170.42;1.00
17.74;9.15;169.23;1.00
17.95;10.16;168.13;1.00
18.16;11.20;168.36;1.00
18.37;12.31;166.05;1.00
18.59;14.24;164.22;1.00
18.81;15.96;158.76;0.99
19.03;19.16;149.29;0.98
19.26;24.57;127.96;0.97
19.48;32.74;112.87;0.98
19.71;40.31;89.16;0.97
19.95;61.19;66.64;0.97
20.18;57.48;55.30;0.99
20.42;39.03;46.73;1.00
20.66;29.67;29.67;0.99
20.90;28.98;16.21;0.99
21.15;30.59;13.62;0.99
21.40;24.38;15.15;1.00
21.65;19.49;16.29;1.00
21.91;17.68;13.70;1.00
22.16;17.72;8.00;1.00
22.43;15.85;8.66;1.00
22.69;13.50;7.64;1.00
22.96;12.23;6.47;1.00
23.23;11.09;4.87;1.00
23.50;10.34;5.99;1.00
23.78;9.71;6.18;1.00
24.06;8.71;7.02;1.00
24.34;8.55;8.49;1.00
24.63;9.31;5.95;1.00
24.92;9.04;4.61;1.00
25.22;7.84;5.18;1.00
25.51;7.16;5.44;1.00
25.81;6.69;5.82;1.00
26.12;6.45;6.52;1.00
26.43;6.29;6.42;1.00
26.74;6.18;6.30;1.00
27.05;6.15;7.28;1.00
27.37;5.99;7.56;1.00
27.70;5.90;7.25;1.00
28.02;5.82;6.82;1.00
28.35;5.81;6.16;1.00
28.69;5.68;5.16;1.00
29.03;5.62;4.42;1.00
29.37;5.52;3.84;1.00
29.71;5.39;3.39;1.00
30.06;5.28;3.27;1.00
30.42;5.15;3.47;1.00
30.78;5.05;3.31;1.00
31.14;4.93;3.49;1.00
31.51;4.82;4.15;1.00
31.88;4.77;4.50;1.00
32.26;4.70;4.21;1.00
32.64;4.63;4.13;1.00
33.02;4.55;3.75;1.00
33.41;4.49;3.92;1.00
33.80;4.43;4.18;1.00
34.20;4.39;4.49;1.00
34.61;4.36;5.00;1.00
35.02;4.32;4.94;1.00
35.43;4.28;5.09;1.00
35.85;4.28;4.60;1.00
36.27;4.27;4.15;1.00
36.70;4.26;3.77;1.00
37.13;4.24;3.54;1.00
37.57;4.22;2.97;1.00
38.01;4.26;2.06;1.00
38.46;4.08;1.97;1.00
38.91;4.15;1.61;1.00
39.37;4.08;1.14;1.00
39.84;4.04;0.89;1.00
40.31;4.01;0.75;1.00
40.78;3.94;0.74;1.00
41.26;3.89;0.39;1.00
41.75;3.85;0.23;1.00
42.24;3.82;0.39;1.00
42.74;3.78;0.16;1.00
43.24;3.75;0.13;1.00
43.75;3.73;-0.12;1.00
44.27;3.68;-0.21;1.00
44.79;3.66;-0.05;1.00
45.32;3.65;-0.15;1.00
45.85;3.62;-0.26;1.00
46.39;3.59;-0.50;1.00
46.94;3.57;-0.58;1.00
47.50;3.57;-0.95;1.00
48.06;3.56;-1.38;1.00
48.62;3.52;-1.74;1.00
49.20;3.49;-2.09;1.00
49.78;3.45;-2.31;1.00
50.36;3.45;-2.46;1.00
50.96;3.43;-3.14;1.00
51.56;3.39;-3.47;1.00
52.17;3.35;-3.73;1.00
52.78;3.32;-3.77;1.00
53.40;3.28;-3.72;1.00
54.03;3.21;-3.57;1.00
54.67;3.15;-3.52;1.00
55.32;3.11;-2.99;1.00
55.97;3.07;-3.07;1.00
56.63;3.04;-3.07;1.00
57.30;3.02;-2.71;1.00
57.97;2.98;-2.47;1.00
58.66;2.95;-2.05;1.00
59.35;2.94;-1.56;1.00
60.05;2.90;-0.82;1.00
60.76;2.89;-0.51;1.00
61.47;2.89;-0.32;1.00
62.20;2.89;-0.22;1.00
62.93;2.88;-0.29;1.00
63.67;2.90;-0.40;1.00
64.42;2.89;-0.82;1.00
65.18;2.89;-1.07;1.00
65.95;2.86;-1.28;1.00
66.73;2.85;-1.36;1.00
67.52;2.81;-1.13;1.00
68.31;2.78;-0.57;1.00
69.12;2.75;-0.17;1.00
69.93;2.72;0.12;1.00
70.76;2.72;0.14;1.00
71.59;2.73;0.17;1.00
72.44;2.72;0.15;1.00
73.29;2.71;0.23;1.00
74.16;2.69;0.22;1.00
75.03;2.69;0.14;1.00
75.92;2.68;0.11;1.00
76.81;2.66;0.25;1.00
77.72;2.64;0.16;1.00
78.63;2.63;-0.01;1.00
79.56;2.61;-0.02;1.00
80.50;2.60;-0.16;1.00
81.45;2.58;-0.28;1.00
82.41;2.56;-0.39;1.00
83.38;2.54;-0.32;1.00
84.37;2.52;-0.43;1.00
85.36;2.49;-0.40;1.00
86.37;2.46;-0.41;1.00
87.39;2.44;-0.38;1.00
88.42;2.40;-0.19;1.00
89.46;2.38;-0.33;1.00
90.51;2.36;-0.15;1.00
91.58;2.32;-0.15;1.00
92.66;2.29;-0.14;1.00
93.75;2.27;0.02;1.00
94.86;2.24;-0.03;1.00
95.98;2.21;0.08;1.00
97.11;2.18;0.11;1.00
98.26;2.14;0.00;1.00
99.42;2.11;0.04;1.00
100.59;2.06;0.01;1.00
101.77;2.02;0.02;1.00
102.97;1.98;0.09;1.00
104.19;1.93;0.16;1.00
105.42;1.88;0.29;1.00
106.66;1.82;0.50;1.00
107.92;1.76;0.54;1.00
109.19;1.70;0.68;1.00
110.48;1.63;0.92;1.00
111.78;1.55;1.19;1.00
113.10;1.48;1.44;1.00
114.43;1.38;1.91;1.00
115.78;1.29;2.39;1.00
117.15;1.18;3.33;1.00
118.53;1.05;4.96;1.00
119.93;0.92;7.51;1.00
121.34;0.76;12.65;0.99
122.77;0.60;23.42;0.98
124.22;0.46;49.08;0.97
125.69;0.36;83.58;0.95
127.17;0.42;130.36;0.87
128.67;0.51;159.52;0.79
130.19;0.95;163.19;0.78
131.72;2.02;161.30;0.79
133.28;2.12;139.47;0.83
134.85;0.53;159.85;0.68
136.44;4.33;178.73;0.88
138.05;4.19;144.41;0.86
139.68;6.01;168.17;0.96
141.32;4.76;165.32;0.98
142.99;9.41;153.93;0.96
144.68;10.15;136.88;0.88
146.38;36.32;81.67;0.88
148.11;31.12;53.28;0.96
149.86;23.49;39.68;0.99
151.62;18.67;33.12;1.00
153.41;15.90;27.27;1.00
155.22;14.02;22.98;1.00
157.05;12.69;18.39;1.00
158.90;11.76;13.57;1.00
160.78;10.98;9.73;1.00
162.67;9.92;7.10;1.00
164.59;9.17;4.96;1.00
166.53;8.47;3.89;1.00
168.50;7.91;3.14;1.00
170.49;7.45;2.68;1.00
172.50;7.06;2.14;1.00
174.53;6.76;1.84;1.00
176.59;6.51;1.60;1.00
178.67;6.28;1.42;1.00
180.78;6.09;1.31;1.00
182.91;5.91;0.61;1.00
185.07;5.76;0.75;1.00
187.25;5.61;0.58;1.00
189.46;5.45;0.57;1.00
191.69;5.38;0.16;1.00
193.96;5.25;0.14;1.00
196.24;5.14;0.25;1.00
198.56;5.08;0.13;1.00
200.90;4.98;0.09;1.00
203.27;4.91;0.04;1.00
205.67;4.82;-0.10;1.00
208.09;4.76;-0.02;1.00
210.55;4.68;-0.15;1.00
213.03;4.62;-0.16;1.00
215.54;4.57;-0.15;1.00
218.08;4.50;-0.15;1.00
220.66;4.45;-0.04;1.00
223.26;4.40;0.07;1.00
225.89;4.36;0.26;1.00
228.55;4.31;0.22;1.00
231.25;4.28;0.35;1.00
233.98;4.23;0.47;1.00
236.74;4.17;0.80;1.00
239.53;4.13;1.21;1.00
242.35;4.10;1.31;1.00
245.21;4.13;1.40;1.00
248.10;4.15;0.62;1.00
251.03;4.14;0.22;1.00
253.99;4.09;-0.07;1.00
256.99;4.05;-0.24;1.00
260.02;4.00;-0.25;1.00
263.08;3.97;-0.36;1.00
266.19;3.93;-0.35;1.00
269.33;3.88;-0.30;1.00
272.50;3.85;-0.39;1.00
275.72;3.82;-0.42;1.00
278.97;3.79;-0.26;1.00
282.26;3.74;-0.35;1.00
285.59;3.71;-0.42;1.00
288.96;3.68;-0.37;1.00
292.36;3.63;-0.35;1.00
295.81;3.59;-0.45;1.00
299.30;3.56;-0.48;1.00
302.83;3.52;-0.46;1.00
306.40;3.47;-0.32;1.00
310.02;3.42;-0.30;1.00
313.67;3.37;-0.10;1.00
317.37;3.31;-0.04;1.00
321.12;3.26;0.20;1.00
324.90;3.19;0.60;1.00
328.73;3.12;1.34;1.00
332.61;3.07;2.13;1.00
336.53;3.00;3.07;1.00
340.50;2.95;4.10;1.00
344.52;2.90;5.54;1.00
348.58;2.86;7.54;1.00
352.69;2.86;10.24;1.00
356.85;2.93;11.49;1.00
361.06;2.99;8.80;1.00
365.32;3.07;5.51;1.00
369.63;3.08;3.47;1.00
373.99;3.00;2.58;1.00
378.40;2.87;2.34;1.00
382.86;2.74;2.59;1.00
387.38;2.61;3.00;1.00
391.95;2.48;3.77;1.00
396.57;2.34;4.65;1.00
401.25;2.19;5.94;1.00
405.98;2.03;8.03;1.00
410.77;1.84;11.26;1.00
415.61;1.62;17.12;0.99
420.51;1.35;31.27;0.98
425.47;1.16;64.39;0.97
430.49;1.06;90.38;0.97
435.57;1.20;111.05;0.98
440.70;1.49;123.32;0.98
445.90;2.03;130.91;0.98
451.16;2.78;135.31;0.98
456.48;3.58;136.71;0.98
461.87;4.77;132.93;0.97
467.31;7.16;121.39;0.95
472.82;12.39;96.47;0.93
478.40;20.97;63.43;0.94
484.04;22.31;34.72;0.97
489.75;18.04;21.85;0.99
495.53;14.05;13.97;0.99
501.37;11.74;9.85;1.00
507.29;10.09;7.07;1.00
513.27;9.15;5.49;1.00
519.32;8.18;4.12;1.00
