Freq;Ampl;Phase;Cohe
5.00;0.21;179.41;1.00
5.06;0.21;179.37;1.00
5.12;0.21;179.21;1.00
5.18;0.22;178.95;1.00
5.24;0.23;178.71;1.00
5.30;0.24;178.69;1.00
5.36;0.24;178.85;1.00
5.43;0.25;179.04;1.00
5.49;0.25;179.17;1.00
5.56;0.25;179.24;1.00
5.62;0.25;179.25;1.00
5.69;0.26;179.19;1.00
5.76;0.27;179.08;1.00
5.82;0.27;178.96;1.00
5.89;0.28;178.86;1.00
5.96;0.29;178.83;1.00
6.03;0.29;178.90;1.00
6.10;0.30;178.99;1.00
6.17;0.31;179.02;1.00
6.25;0.32;178.97;1.00
6.32;0.33;178.90;1.00
6.40;0.34;178.88;1.00
6.47;0.35;178.94;1.00
6.55;0.36;179.07;1.00
6.62;0.36;179.15;1.00
6.70;0.38;179.08;1.00
6.78;0.39;179.01;1.00
6.86;0.40;179.09;1.00
6.94;0.41;179.19;1.00
7.02;0.42;179.19;1.00
7.11;0.43;179.15;1.00
7.19;0.45;179.11;1.00
7.28;0.46;179.06;1.00
7.36;0.47;179.01;1.00
7.45;0.49;178.99;1.00
7.54;0.50;178.97;1.00
7.63;0.52;178.86;1.00
7.72;0.53;178.77;1.00
7.81;0.55;178.72;1.00
7.90;0.56;178.74;1.00
7.99;0.58;178.78;1.00
8.09;0.60;178.81;1.00
8.18;0.62;178.84;1.00
8.28;0.63;178.86;1.00
8.38;0.65;178.86;1.00
8.47;0.67;178.86;1.00
8.57;0.69;178.97;1.00
8.68;0.71;179.10;1.00
8.78;0.74;179.22;1.00
8.88;0.76;179.14;1.00
8.99;0.79;179.06;1.00
9.09;0.81;179.12;1.00
9.20;0.84;179.22;1.00
9.31;0.87;179.27;1.00
9.42;0.90;179.31;1.00
9.53;0.93;179.25;1.00
9.64;0.96;178.88;1.00
9.75;0.99;178.42;1.00
9.87;1.03;178.30;1.00
9.99;1.07;178.42;1.00
10.10;1.11;178.42;1.00
10.22;1.13;178.15;1.00
10.34;1.13;178.09;1.00
10.47;1.16;178.13;1.00
10.59;1.19;178.20;1.00
10.71;1.23;178.05;1.00
10.84;1.28;177.86;1.00
10.97;1.34;177.87;1.00
11.10;1.39;177.91;1.00
11.23;1.44;177.89;1.00
11.36;1.50;177.82;1.00
11.49;1.56;177.89;1.00
11.63;1.62;178.00;1.00
11.77;1.68;177.95;1.00
11.91;1.76;177.87;1.00
12.05;1.84;177.89;1.00
12.19;1.92;177.99;1.00
12.33;2.01;177.82;1.00
12.48;2.11;177.74;1.00
12.63;2.21;177.49;1.00
12.77;2.34;177.44;1.00
12.92;2.44;177.52;1.00
13.08;2.58;177.29;1.00
13.23;2.71;177.11;1.00
13.39;2.88;177.23;1.00
13.55;3.05;177.09;1.00
13.71;3.23;176.96;1.00
13.87;3.43;177.02;1.00
14.03;3.62;177.03;1.00
14.20;3.82;176.40;1.00
14.36;4.10;175.66;1.00
14.53;4.53;175.21;1.00
14.70;4.94;175.14;1.00
14.88;5.38;174.82;1.00
15.05;5.85;174.48;1.00
15.23;6.23;171.88;1.00
15.41;6.95;169.76;1.00
15.59;7.87;169.38;1.00
15.78;9.00;166.89;1.00
15.96;10.24;162.16;1.00
16.15;11.66;159.24;0.99
16.34;13.13;153.98;0.99
16.53;15.79;143.49;0.98
16.73;18.71;130.60;0.97
16.93;25.63;108.07;0.96
17.13;44.65;73.80;0.96
17.33;63.06;50.47;0.97
17.53;60.56;33.55;0.98
17.74;45.29;25.58;0.99
17.95;32.85;19.64;0.99
18.16;26.41;15.01;1.00
18.37;22.31;9.99;1.00
18.59;19.34;9.64;1.00
18.81;16.35;7.34;1.00
19.03;13.72;6.18;1.00
19.26;12.17;6.40;1.00
19.48;10.98;5.54;1.00
19.71;9.94;4.88;1.00
19.95;8.98;4.57;1.00
20.18;8.43;3.96;1.00
20.42;7.73;4.06;1.00
20.66;7.28;4.57;1.00
20.90;6.90;3.94;1.00
21.15;6.40;3.33;1.00
21.40;6.09;3.83;1.00
21.65;5.81;4.34;1.00
21.91;5.63;4.05;1.00
22.16;5.43;3.47;1.00
22.43;5.22;2.88;1.00
22.69;4.97;3.18;1.00
22.96;4.84;3.48;1.00
23.23;4.81;3.11;1.00
23.50;4.64;2.96;1.00
23.78;4.49;2.87;1.00
24.06;4.33;3.16;1.00
24.34;4.20;2.99;1.00
24.63;4.12;3.23;1.00
24.92;4.03;3.04;1.00
25.22;3.91;4.00;1.00
25.51;3.86;4.08;1.00
25.81;3.89;3.93;1.00
26.12;3.85;3.64;1.00
26.43;3.76;3.86;1.00
26.74;3.69;4.00;1.00
27.05;3.62;4.27;1.00
27.37;3.52;4.16;1.00
27.70;3.51;3.80;1.00
28.02;3.48;3.65;1.00
28.35;3.41;3.14;1.00
28.69;3.37;2.70;1.00
29.03;3.33;2.40;1.00
29.37;3.29;1.85;1.00
29.71;3.25;1.37;1.00
30.06;3.22;1.47;1.00
30.42;3.16;1.67;1.00
30.78;3.11;1.85;1.00
31.14;3.06;2.26;1.00
31.51;3.01;2.65;1.00
31.88;2.97;2.98;1.00
32.26;2.95;2.93;1.00
32.64;2.92;2.93;1.00
33.02;2.89;2.92;1.00
33.41;2.88;2.88;1.00
33.80;2.85;3.16;1.00
34.20;2.83;3.55;1.00
34.61;2.82;3.81;1.00
35.02;2.81;3.99;1.00
35.43;2.80;3.84;1.00
35.85;2.79;3.48;1.00
36.27;2.78;3.11;1.00
36.70;2.79;2.92;1.00
37.13;2.78;2.61;1.00
37.57;2.77;2.35;1.00
38.01;2.77;1.97;1.00
38.46;2.75;1.57;1.00
38.91;2.73;1.22;1.00
39.37;2.72;0.85;1.00
39.84;2.70;0.65;1.00
40.31;2.67;0.37;1.00
40.78;2.65;0.33;1.00
