Freq;Ampl;Phase;Cohe
50.96;5.40;-2.62;1.00
51.56;5.38;-3.16;1.00
52.17;5.32;-3.60;1.00
52.78;5.23;-4.20;1.00
53.40;5.16;-4.24;1.00
54.03;5.04;-4.10;1.00
54.67;4.93;-3.73;1.00
55.32;4.82;-3.65;1.00
55.97;4.75;-3.53;1.00
56.63;4.68;-3.44;1.00
57.30;4.64;-3.44;1.00
57.97;4.55;-2.97;1.00
58.66;4.48;-2.47;1.00
59.35;4.44;-2.08;1.00
60.05;4.38;-1.37;1.00
60.76;4.31;-0.42;1.00
61.47;4.30;0.01;1.00
62.20;4.30;0.60;1.00
62.93;4.28;0.81;1.00
63.67;4.29;0.87;1.00
64.42;4.30;0.75;1.00
65.18;4.31;0.86;1.00
65.95;4.26;0.77;1.00
66.73;4.26;1.09;1.00
67.52;4.26;1.29;1.00
68.31;4.24;1.06;1.00
69.12;4.24;0.96;1.00
69.93;4.25;0.64;1.00
70.76;4.20;0.48;1.00
71.59;4.18;0.34;1.00
72.44;4.16;0.24;1.00
73.29;4.16;0.16;1.00
74.16;4.13;-0.14;1.00
75.03;4.09;-0.54;1.00
75.92;4.04;-0.63;1.00
76.81;4.01;-0.72;1.00
77.72;3.95;-0.34;1.00
78.63;3.88;-0.16;1.00
79.56;3.87;-0.04;1.00
80.50;3.85;-0.18;1.00
81.45;3.83;-0.13;1.00
82.41;3.80;-0.20;1.00
83.38;3.76;-0.24;1.00
84.37;3.73;-0.24;1.00
85.36;3.71;-0.21;1.00
86.37;3.66;-0.14;1.00
87.39;3.62;-0.22;1.00
88.42;3.57;-0.25;1.00
89.46;3.54;-0.27;1.00
90.51;3.50;-0.19;1.00
91.58;3.46;0.07;1.00
92.66;3.41;-0.10;1.00
93.75;3.35;-0.18;1.00
94.86;3.33;-0.04;1.00
95.98;3.27;0.15;1.00
97.11;3.23;-0.07;1.00
98.26;3.17;0.10;1.00
99.42;3.14;-0.07;1.00
100.59;3.07;-0.09;1.00
101.77;3.00;-0.10;1.00
102.97;2.94;0.06;1.00
104.19;2.87;0.11;1.00
105.42;2.80;0.16;1.00
106.66;2.73;0.25;1.00
