Freq;Ampl;Phase;Cohe;Imag;Real
243.1640625;2.722324371;-3.069542885;0.974736214;-0.19597362;-2.715261459
243.4082031;2.722167969;-3.069459915;0.974634886;-0.196187571;-2.715089083
243.6523438;2.721765041;-3.069618225;0.974550664;-0.195728853;-2.714718342
243.8964844;2.720501423;-3.069903374;0.974455178;-0.194863945;-2.713513613
244.140625;2.719198465;-3.070136786;0.974359155;-0.194137767;-2.712259293
244.3847656;2.717053175;-3.070247889;0.974279642;-0.19368346;-2.710141182
244.6289063;2.714543819;-3.070203543;0.974174798;-0.193624526;-2.707629442
244.8730469;2.712207079;-3.06990242;0.974129081;-0.194272682;-2.70524025
245.1171875;2.710175514;-3.069401979;0.97410208;-0.1954799;-2.703116417
245.3613281;2.70900321;-3.068831205;0.974051535;-0.196937114;-2.701835394
245.6054688;2.708159208;-3.068268061;0.973988771;-0.198396847;-2.700882196
245.8496094;2.707872391;-3.067725658;0.973954141;-0.199840888;-2.700488091
246.09375;2.707413435;-3.067415476;0.973860621;-0.200644165;-2.699968338
246.3378906;2.707454205;-3.067367077;0.973769724;-0.200777814;-2.699999332
246.5820313;2.706555128;-3.067336082;0.97367686;-0.200795099;-2.699096441
246.8261719;2.705439568;-3.067474127;0.973643541;-0.200340152;-2.698011637
247.0703125;2.703926325;-3.067440748;0.973600388;-0.200317964;-2.69649601
247.3144531;2.702181339;-3.067179918;0.973546803;-0.200891316;-2.694703341
247.5585938;2.700415611;-3.066826105;0.973499894;-0.20171307;-2.692871332
247.8027344;2.698876143;-3.066306353;0.973476112;-0.202996612;-2.691231012
248.046875;2.697892666;-3.065597057;0.97350204;-0.204830989;-2.690105677
248.2910156;2.697505713;-3.065061331;0.973483026;-0.206242695;-2.689609766
248.5351563;2.69756031;-3.064588785;0.97347343;-0.207517281;-2.689566612
248.7792969;2.698150873;-3.064243555;0.973452687;-0.208491504;-2.690083504
249.0234375;2.698429346;-3.064124823;0.973369062;-0.208832517;-2.690336466
249.2675781;2.698202848;-3.064326525;0.973288834;-0.208272517;-2.690152645
249.5117188;2.697618723;-3.064335585;0.97322762;-0.208203077;-2.689572096
249.7558594;2.696399927;-3.064448595;0.973113179;-0.207805201;-2.68838048
250;2.694617271;-3.064591408;0.973032713;-0.207284376;-2.686632633
250.2441406;2.692884207;-3.064286947;0.972962141;-0.207968146;-2.684841633
250.4882813;2.691247702;-3.063896894;0.972916663;-0.208888367;-2.683128834
250.7324219;2.690031052;-3.063444376;0.972898424;-0.210007623;-2.681821108
250.9765625;2.689435482;-3.062883139;0.972850263;-0.211466208;-2.681108952
251.2207031;2.689421415;-3.062350512;0.97287935;-0.212892607;-2.680981874
251.4648438;2.689327955;-3.061966181;0.972879946;-0.213915899;-2.680806637
251.7089844;2.689737797;-3.061614752;0.972917438;-0.214890778;-2.681139946
251.953125;2.689764023;-3.061564922;0.972917378;-0.215026006;-2.681155443
252.1972656;2.689369917;-3.061589003;0.972912192;-0.214930013;-2.680767775
252.4414063;2.68866539;-3.061536789;0.972900033;-0.215013906;-2.680054188
252.6855469;2.687716246;-3.06131649;0.972876072;-0.215527847;-2.679060698
252.9296875;2.686496735;-3.061187267;0.97283262;-0.215776652;-2.677817345
253.1738281;2.685563564;-3.060683489;0.97279346;-0.217049852;-2.676778078
253.4179688;2.684686661;-3.060252905;0.972718596;-0.218131557;-2.675810337
253.6621094;2.684147835;-3.059691191;0.972694814;-0.219590366;-2.675150394
253.90625;2.684309483;-3.059283257;0.972603321;-0.220694765;-2.675221682
254.1503906;2.684375048;-3.058886528;0.972524881;-0.221761182;-2.67519927
254.3945313;2.684617996;-3.058670521;0.97248441;-0.222359434;-2.675393343
254.6386719;2.684522152;-3.058614492;0.972375214;-0.222501516;-2.675285339
254.8828125;2.684533596;-3.058588505;0.972350776;-0.222572044;-2.675291061
255.1269531;2.68405509;-3.058494568;0.97231251;-0.222783595;-2.674793243
255.3710938;2.683250666;-3.058448792;0.972313583;-0.222839281;-2.673981428
