Freq;Ampl;Phase;Cohe;Imag;Real
0;0.254685909;0;0.604214013;0;0.254685909
0.244140625;0.820855677;3.138522625;0.901988089;0.002520129;-0.820851803
0.48828125;0.395631045;2.722702026;0.76635772;0.160921901;-0.361425042
0.732421875;0.290330499;2.49000597;0.728798151;0.176070616;-0.230848312
0.9765625;0.213106692;2.40844202;0.677329302;0.142614022;-0.15835309
1.220703125;0.167327106;2.440479517;0.619522631;0.107937478;-0.127858758
1.46484375;0.142784923;2.428136587;0.605583727;0.093445711;-0.107960328
1.708984375;0.120606445;2.45189929;0.58372575;0.076741979;-0.093040764
1.953125;0.101471543;2.538220644;0.532826185;0.057577219;-0.083554402
2.197265625;0.091988422;2.535006523;0.529806137;0.052439481;-0.075577579
2.44140625;0.08287698;2.610128641;0.478960901;0.042001724;-0.071445428
2.685546875;0.072819464;2.606845617;0.434806377;0.037110507;-0.062653691
2.9296875;0.069013409;2.664454222;0.423699737;0.031693663;-0.061305482
3.173828125;0.059168134;2.653763294;0.346210331;0.027732672;-0.052266307
3.41796875;0.056342222;2.660834789;0.33313477;0.026055532;-0.049955532
3.662109375;0.047993228;2.662862539;0.259759039;0.022108205;-0.042597853
3.90625;0.040719658;2.588531494;0.214985728;0.021389816;-0.03464919
4.150390625;0.034285035;2.594395399;0.153780043;0.017838364;-0.029278941
4.39453125;0.023699917;2.537261724;0.082103312;0.013466569;-0.019502245
4.638671875;0.017116567;2.372421265;0.045046631;0.01190526;-0.012298035
4.8828125;0.009231793;1.980609775;0.014174599;0.008467356;-0.003678298
5.126953125;0.008589903;0.576199651;0.011862496;0.004680132;0.007202971
5.37109375;0.016358426;0.097084649;0.042113457;0.001585658;0.016281394
5.615234375;0.028246028;0.053558446;0.118226051;0.00151209;0.028205527
5.859375;0.040870216;-0.049747583;0.217293561;-0.002032356;0.040819652
6.103515625;0.054406963;-0.067368336;0.317431539;-0.003662535;0.054283548
6.34765625;0.065701865;-0.066197112;0.39029479;-0.004346098;0.065557964
6.591796875;0.081982598;-0.090808831;0.497178257;-0.007434516;0.081644803
6.8359375;0.098409362;-0.114531666;0.591305315;-0.011246363;0.097764626
7.080078125;0.11558231;-0.135508418;0.65239805;-0.015614486;0.11452274
7.32421875;0.134187326;-0.134468704;0.7166906;-0.017989667;0.132975981
