Freq;Ampl;Phase;Cohe;Imag;Real
18.06640625;2.308374882;-0.688794732;0.980987251;-1.467219472;1.782094598
18.31054688;2.427880049;-0.713244557;0.982224762;-1.58853972;1.8360672
18.5546875;2.569185019;-0.732798696;0.982974589;-1.718662858;1.909688473
18.79882813;2.707123041;-0.763294101;0.98437804;-1.871448636;1.956066132
19.04296875;2.859946966;-0.792071164;0.985700667;-2.035737514;2.008748293
19.28710938;3.002281427;-0.822573483;0.987512887;-2.200369358;2.042564154
19.53125;3.153673887;-0.854252994;0.987704813;-2.378123999;2.071276188
19.77539063;3.321865559;-0.88902247;0.988462746;-2.579282761;2.09334445
20.01953125;3.483276606;-0.925757408;0.988874733;-2.783404112;2.094248772
20.26367188;3.646999598;-0.968361378;0.989743054;-3.004975557;2.066574097
20.5078125;3.815299273;-1.007952332;0.989736199;-3.226755142;2.035819292
20.75195313;3.982448578;-1.053487062;0.989900172;-3.461357117;1.96949327
20.99609375;4.150202274;-1.1005615;0.989752114;-3.699747324;1.880438805
21.24023438;4.316385746;-1.147958755;0.990176916;-3.936233997;1.771227956
21.484375;4.467502117;-1.197922349;0.990126312;-4.160514355;1.62748158
21.72851563;4.616629601;-1.250174046;0.99048394;-4.381363869;1.454963803
21.97265625;4.751502991;-1.302653193;0.990797579;-4.58170557;1.258869767
22.21679688;4.880485535;-1.354799986;0.991342783;-4.767079353;1.045988917
22.4609375;5.000765324;-1.409045458;0.991683662;-4.935489655;0.805355608
22.70507813;5.104030132;-1.463700652;0.992087543;-5.074787617;0.545574963
22.94921875;5.19701767;-1.519312859;0.992394924;-5.190131664;0.267442077
23.19335938;5.275902748;-1.574644685;0.992673934;-5.275863647;-0.020303298
23.4375;5.333106041;-1.631135225;0.993022442;-5.323400497;-0.321597815
23.68164063;5.365224361;-1.688040376;0.993252814;-5.328391075;-0.627599835
23.92578125;5.374805927;-1.742702127;0.993457735;-5.295584202;-0.919415772
24.16992188;5.365603447;-1.794348717;0.993791401;-5.232086182;-1.189527035
24.4140625;5.331971645;-1.844331861;0.993980408;-5.133738995;-1.440363288
24.65820313;5.286393166;-1.890003204;0.99437505;-5.019349098;-1.658941865
24.90234375;5.231663704;-1.932500839;0.994689107;-4.893148899;-1.851323128
25.14648438;5.180452824;-1.970799565;0.994922221;-4.771506786;-2.017378092
25.390625;5.125493526;-2.006896496;0.995136917;-4.645777702;-2.165048361
25.63476563;5.072577953;-2.042640686;0.995237529;-4.518305302;-2.305637598
25.87890625;5.013845921;-2.075737;0.995355725;-4.388134003;-2.425475597
26.12304688;4.949975491;-2.107031107;0.995357275;-4.255189419;-2.528956652
26.3671875;4.883889198;-2.135146141;0.995482504;-4.1265769;-2.612228394
